nom,date,contacts_seen,cumulative_confirmed_cases,cumulative_confirmed_deaths,cumulative_contacts_isolated,cumulative_contacts_traced,cumulative_suspected_cases,cumulative_suspected_deaths,hosp_escaped,hospitalised,in_bed_previous_day,national_cumulative_confirmed_cases,national_cumulative_confirmed_deaths,national_cumulative_recovered_cases,national_cumulative_suspected_cases,national_cumulative_suspected_deaths,national_suspected_cases_in_isolation,national_suspected_cases_under_investigation,new_confirmed_cases,new_contacts_isolated,new_contacts_listed,new_hosp_admissions,new_hosp_detainees,new_hosp_other,new_suspected_cases,new_suspected_deaths,total_poe_hand_washing,total_poe_passed,total_poe_refused_hand_washing,total_poe_refused_screening,total_poe_sanitised,total_poe_screened
Butembo,2026-05-20,,1.0,,,,7.0,0.0,,,,,,,,,,,0.0,,,,,,6.0,0.0,,,,,,
Butembo,2026-05-21,,2.0,0.0,,,7.0,0.0,,,,,,,,,,,1.0,,,,,,0.0,0.0,,,,,,
Butembo,2026-05-22,,2.0,0.0,,,7.0,0.0,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,
Butembo,2026-05-23,,1.0,0.0,,,7.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,
Butembo,2026-05-24,,3.0,0.0,,22.0,7.0,0.0,,,,,,,,,,,2.0,,22.0,,,,,0.0,,,,,,
Butembo,2026-05-25,,3.0,,,22.0,7.0,0.0,,,,,,,,,,,0.0,,0.0,,,,0.0,0.0,,,,,,
Butembo,2026-05-26,,3.0,0.0,,22.0,10.0,0.0,,,,,,,,,,,0.0,,0.0,,,,3.0,0.0,,,,,,
Butembo,2026-05-27,,5.0,0.0,,28.0,7.0,0.0,,,,,,,,,,,2.0,,6.0,,,,,,,,,,,
Butembo,2026-05-28,,5.0,2.0,,28.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Butembo,2026-05-29,,5.0,2.0,,48.0,7.0,0.0,,,,,,,,,,,,,24.0,,,,,,,,,,,
DRC,2026-05-14,,,,,,,,,,,8.0,4.0,,246.0,,,,,,,,,,,,,,,,,
DRC,2026-05-17,,,,,,,,,,,13.0,4.0,,246.0,,,,,,,,,,,,,,,,,
DRC,2026-05-18,,,,,,,,,,,33.0,4.0,,516.0,131.0,,,,,,,,,,,,,,,,
DRC,2026-05-19,,,,,,,,,,,51.0,4.0,,575.0,148.0,,,,,,,,,,,,,,,,
DRC,2026-05-20,,,,,,,,,,,64.0,6.0,,671.0,160.0,,,,,,,,,,,,,,,,
DRC,2026-05-21,,,,,,,,,,,83.0,9.0,,746.0,176.0,,,,,,,,,,,,,,,,
DRC,2026-05-22,,,,,,,,,,,91.0,10.0,,867.0,,,,,,,,,,,,,,,,,
DRC,2026-05-23,,,,,,,,,,,101.0,10.0,,904.0,220.0,,,,,,,,,,,,,,,,
DRC,2026-05-24,,,,,,,,,,,105.0,10.0,,906.0,223.0,,,,,,,,,,,,,,,,
DRC,2026-05-25,,,,,,,,,,,106.0,12.0,,998.0,238.0,,,,,,,,,,,,,,,,
DRC,2026-05-26,,,,,,,,,,,121.0,17.0,,1077.0,246.0,,,,,,,,,,,,,,,,
DRC,2026-05-27,,,,,,,,,,,125.0,17.0,1.0,906.0,223.0,,,,,,,,,,,,,,,,
DRC,2026-05-28,,,,,,,,,,,210.0,17.0,1.0,349.0,236.0,,,,,,,,,,,,,,,,
DRC,2026-05-29,,,,,,,,,,,263.0,42.0,2.0,349.0,236.0,,,,,,,,,,,,,,,,
Damas,2026-05-26,,0.0,,,,4.0,2.0,,,,,,,,,,,0.0,,,,,,4.0,2.0,,,,,,
Damas,2026-05-27,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damas,2026-05-28,,1.0,0.0,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Damas,2026-05-29,,1.0,0.0,,,1.0,0.0,,,,,,,,,,,0.0,,,,,,1.0,0.0,,,,,,
Fataki,2026-05-26,,0.0,,,,1.0,1.0,,,,,,,,,,,0.0,,,,,,1.0,0.0,,,,,,
Fataki,2026-05-27,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fataki,2026-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fataki,2026-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gety,2026-05-28,,1.0,0.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
Gety,2026-05-29,,1.0,0.0,,,3.0,,,,,,,,,,,,,,,,,,3.0,0.0,,,,,,
Goma,2026-05-18,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,
Goma,2026-05-19,,1.0,,,,1.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,
Goma,2026-05-20,,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,
Goma,2026-05-21,,1.0,0.0,,,1.0,0.0,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,
Goma,2026-05-22,,1.0,0.0,,,1.0,0.0,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,
Goma,2026-05-23,,1.0,0.0,,,1.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,
Goma,2026-05-24,,1.0,0.0,,28.0,0.0,0.0,,,,,,,,,,,0.0,,28.0,,,,,3.0,,,,,,
Goma,2026-05-25,,1.0,0.0,,28.0,0.0,0.0,,,,,,,,,,,0.0,,0.0,,,,0.0,0.0,,,,,,
Goma,2026-05-26,,1.0,0.0,,28.0,0.0,0.0,,,,,,,,,,,0.0,,0.0,,,,0.0,0.0,,,,,,
Goma,2026-05-27,,1.0,0.0,,74.0,0.0,0.0,,,,,,,,,,,0.0,,46.0,,,,,,,,,,,
Goma,2026-05-28,,1.0,0.0,,74.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Goma,2026-05-29,,1.0,0.0,,140.0,0.0,0.0,,,,,,,,,,,,,66.0,,,,,,,,,,,
Jiba,2026-05-28,,,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
Jiba,2026-05-29,,,0.0,,,2.0,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,
Kalunguta,2026-05-24,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,0.0,,,,,,
Kalunguta,2026-05-25,,1.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,
Kalunguta,2026-05-26,,1.0,,,,2.0,0.0,,,,,,,,,,,0.0,,,,,,2.0,0.0,,,,,,
Kalunguta,2026-05-27,,2.0,,,,13.0,0.0,,,,,,,,,,,1.0,,,,,,,,,,,,,
Kalunguta,2026-05-28,,1.0,1.0,,,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Kalunguta,2026-05-29,,1.0,1.0,,,13.0,0.0,,,,,,,,,,,,,20.0,,,,,,,,,,,
Karisimbi,2026-05-24,,,,,249.0,,,,,,,,,,,,,,,249.0,,,,,,,,,,,
Karisimbi,2026-05-25,,,,,249.0,,0.0,,,,,,,,,,,1.0,,0.0,,,,,0.0,,,,,,
Karisimbi,2026-05-26,,0.0,,,249.0,5.0,0.0,,,,,,,,,,,0.0,,0.0,,,,5.0,0.0,,,,,,
Karisimbi,2026-05-27,,0.0,,,181.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Karisimbi,2026-05-28,,0.0,0.0,,181.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Karisimbi,2026-05-29,,0.0,0.0,,413.0,,0.0,,,,,,,,,,,,,249.0,,,,,,,,,,,
Katwa,2026-05-18,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,
Katwa,2026-05-19,,1.0,,,,1.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,
Katwa,2026-05-20,,1.0,,,,13.0,0.0,,,,,,,,,,,1.0,,,,,,12.0,0.0,,,,,,
Katwa,2026-05-21,,1.0,0.0,,,13.0,0.0,,,,,,,,,,,1.0,,,,,,13.0,0.0,,,,,,
Katwa,2026-05-22,,0.0,0.0,,,13.0,0.0,,,,,,,,,,,2.0,,,,,,0.0,0.0,,,,,,
Katwa,2026-05-23,,4.0,0.0,,,13.0,0.0,,,,,,,,,,,1.0,,,,,,,0.0,,,,,,
Katwa,2026-05-24,,4.0,0.0,,99.0,0.0,0.0,,,,,,,,,,,0.0,,99.0,,,,,0.0,,,,,,
Katwa,2026-05-25,,4.0,,,99.0,13.0,0.0,,,,,,,,,,,0.0,,0.0,,,,0.0,0.0,,,,,,
Katwa,2026-05-26,,,0.0,,99.0,,0.0,,,,,,,,,,,0.0,,0.0,,,,0.0,0.0,,,,,,
Katwa,2026-05-27,,4.0,0.0,,111.0,,0.0,,,,,,,,,,,0.0,,12.0,,,,,,,,,,,
Katwa,2026-05-28,,4.0,3.0,,111.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Katwa,2026-05-29,,4.0,3.0,,221.0,,0.0,,,,,,,,,,,,,112.0,,,,,,,,,,,
Kilo,2026-05-21,,1.0,0.0,,0.0,1.0,0.0,,,,,,,,,,,1.0,,0.0,,,,1.0,0.0,,,,,,
Kilo,2026-05-22,,1.0,0.0,,176.0,6.0,2.0,,,,,,,,,,,0.0,,176.0,,,,1.0,2.0,,,,,,
Kilo,2026-05-23,,1.0,0.0,8.0,0.0,6.0,2.0,,,,,,,,,,,0.0,8.0,,,,,,0.0,,,,,,
Kilo,2026-05-24,,1.0,0.0,,0.0,8.0,2.0,,,,,,,,,,,0.0,,0.0,,,,1.0,0.0,,,,,,
Kilo,2026-05-25,,1.0,0.0,,0.0,18.0,0.0,,,,,,,,,,,0.0,,0.0,,,,10.0,0.0,,,,,,
Kilo,2026-05-26,,1.0,0.0,,0.0,18.0,0.0,,,,,,,,,,,0.0,,0.0,,,,0.0,0.0,,,,,,
Kilo,2026-05-27,,1.0,0.0,,41.0,8.0,2.0,,,,,,,,,,,0.0,,41.0,,,,,,,,,,,
Kilo,2026-05-28,,2.0,0.0,,41.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Kilo,2026-05-29,,2.0,0.0,,41.0,8.0,2.0,,,,,,,,,,,0.0,,41.0,,,,,,,,,,,
Komanda,2026-05-19,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
Komanda,2026-05-22,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
Komanda,2026-05-23,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Komanda,2026-05-24,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Komanda,2026-05-25,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Komanda,2026-05-26,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Komanda,2026-05-27,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Komanda,2026-05-28,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Komanda,2026-05-29,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyondo,2026-05-24,,,,,16.0,,,,,,,,,,,,,,,16.0,,,,,,,,,,,
Kyondo,2026-05-25,,1.0,,,16.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
Kyondo,2026-05-26,,1.0,,,16.0,3.0,0.0,,,,,,,,,,,1.0,,0.0,,,,3.0,0.0,,,,,,
Kyondo,2026-05-27,,,,,16.0,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,
Kyondo,2026-05-28,,1.0,0.0,,16.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Kyondo,2026-05-29,,1.0,0.0,,16.0,,0.0,,,,,,,,,,,,,16.0,,,,,,,,,,,
Lita,2026-05-28,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lita,2026-05-29,,1.0,0.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
Mahagi,2026-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,184.0,184.0,0.0,0.0,184.0,184.0
Mambasa,2026-05-26,,0.0,,,,5.0,1.0,,,,,,,,,,,0.0,,,,,,5.0,1.0,,,,,,
Mambasa,2026-05-27,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mambasa,2026-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mambasa,2026-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mangala,2026-05-19,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
Mangala,2026-05-28,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mangala,2026-05-29,,1.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
Manguredjipa,2026-05-29,,0.0,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,
Miti Murhesa,2026-05-21,,1.0,0.0,,,1.0,0.0,,,,,,,,,,,1.0,,,,,,1.0,0.0,,,,,,
Miti Murhesa,2026-05-22,,1.0,0.0,,,1.0,0.0,,,,,,,,,,,0.0,,,,,,5.0,0.0,,,,,,
Miti Murhesa,2026-05-23,,1.0,0.0,,,1.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,
Miti Murhesa,2026-05-24,,1.0,0.0,,,1.0,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,
Miti Murhesa,2026-05-25,,1.0,0.0,,,1.0,0.0,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,
Miti Murhesa,2026-05-26,,1.0,0.0,,,1.0,0.0,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,
Miti Murhesa,2026-05-27,,1.0,0.0,,,1.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,
Miti Murhesa,2026-05-28,,3.0,1.0,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Miti Murhesa,2026-05-29,,3.0,1.0,,,1.0,0.0,,,,,,,,,,,2.0,,,,,,,,,,,,,
Mongbwalu,2026-05-14,,0.0,,,82.0,,57.0,,,,,,,,,,,0.0,,82.0,,,,,57.0,,,,,,
Mongbwalu,2026-05-15,,0.0,,3.0,,,,,,,,,,,,,,0.0,3.0,,,,,0.0,,,,,,,
Mongbwalu,2026-05-18,,1.0,,12.0,161.0,302.0,74.0,,,,,,,,,,,1.0,9.0,79.0,,,,56.0,17.0,,,,,,
Mongbwalu,2026-05-19,0.0,13.0,0.0,16.0,176.0,309.0,77.0,,,,,,,,,,,12.0,4.0,15.0,,,,7.0,3.0,,,,,,
Mongbwalu,2026-05-20,0.0,13.0,0.0,22.0,176.0,317.0,80.0,2.0,30.0,,,,,,,,,0.0,6.0,0.0,21.0,0.0,9.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Mongbwalu,2026-05-21,0.0,14.0,0.0,23.0,176.0,322.0,84.0,1.0,36.0,,,,,,,,,1.0,1.0,0.0,27.0,0.0,9.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Mongbwalu,2026-05-22,46.0,10.0,0.0,30.0,222.0,339.0,88.0,,34.0,30.0,,,,,,,,0.0,7.0,46.0,4.0,0.0,4.0,17.0,4.0,,,,,,
Mongbwalu,2026-05-23,,19.0,0.0,30.0,222.0,339.0,88.0,18.0,31.0,28.0,,,,,,,,9.0,,0.0,3.0,0.0,3.0,,0.0,,,,,,
Mongbwalu,2026-05-24,,19.0,0.0,,222.0,339.0,88.0,0.0,18.0,13.0,,,,,,,,0.0,,0.0,5.0,0.0,5.0,,0.0,,,,,,
Mongbwalu,2026-05-25,,19.0,0.0,,222.0,364.0,88.0,,,,,,,,,,,0.0,,0.0,,,,25.0,0.0,,,,,,
Mongbwalu,2026-05-26,,20.0,0.0,,222.0,375.0,88.0,,,,,,,,,,,1.0,,0.0,,,,11.0,0.0,,,,,,
Mongbwalu,2026-05-27,,20.0,0.0,,222.0,339.0,88.0,0.0,,,,,,,,,,0.0,,0.0,10.0,1.0,1.0,,,,,,,,
Mongbwalu,2026-05-28,,47.0,10.0,,222.0,346.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,
Mongbwalu,2026-05-29,,47.0,10.0,,222.0,346.0,88.0,3.0,11.0,12.0,,,,,,,,8.0,,235.0,,0.0,,7.0,0.0,,,,,,
Nizi,2026-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Nizi,2026-05-21,,1.0,0.0,,0.0,1.0,0.0,,,,,,,,,,,1.0,,0.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nizi,2026-05-22,,2.0,0.0,1.0,0.0,5.0,1.0,,,,,,,,,,,1.0,1.0,0.0,,,,4.0,1.0,,,0.0,0.0,,
Nizi,2026-05-23,15.0,2.0,0.0,1.0,22.0,6.0,2.0,,,,,,,,,,,0.0,0.0,7.0,,,,1.0,1.0,,,0.0,0.0,,
Nizi,2026-05-24,,2.0,0.0,,22.0,6.0,2.0,,,,,,,,,,,0.0,,0.0,,,,1.0,0.0,,,,,,
Nizi,2026-05-25,,2.0,,,22.0,9.0,2.0,,,,,,,,,,,0.0,,0.0,,,,3.0,0.0,,,,,,
Nizi,2026-05-26,,2.0,0.0,,22.0,15.0,2.0,,,,,,,,,,,0.0,,0.0,,,,6.0,0.0,,,,,,
Nizi,2026-05-27,,2.0,0.0,,220.0,6.0,2.0,,,,,,,,,,,0.0,,,,,,,,,,,,,
Nizi,2026-05-28,,2.0,0.0,,220.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Nizi,2026-05-29,,2.0,0.0,,260.0,6.0,2.0,,,,,,,,,,,0.0,,288.0,,,,,,,,,,,
Nyankunde,2026-05-18,,4.0,,3.0,133.0,14.0,1.0,,,,,,,,,,,4.0,3.0,133.0,,,,14.0,1.0,,,,,,
Nyankunde,2026-05-19,0.0,4.0,0.0,8.0,133.0,19.0,5.0,,,,,,,,,,,0.0,5.0,0.0,,,,5.0,4.0,,,,,,
Nyankunde,2026-05-20,0.0,5.0,0.0,17.0,133.0,28.0,5.0,0.0,16.0,,,,,,,,,1.0,9.0,0.0,15.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nyankunde,2026-05-21,207.0,11.0,0.0,26.0,340.0,38.0,6.0,0.0,23.0,,,,,,,,,2.0,9.0,207.0,16.0,7.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Nyankunde,2026-05-22,234.0,9.0,0.0,6.0,365.0,45.0,8.0,,24.0,22.0,,,,,,,,0.0,6.0,25.0,2.0,1.0,1.0,7.0,2.0,,,,,,
Nyankunde,2026-05-23,,9.0,0.0,6.0,365.0,45.0,8.0,0.0,33.0,26.0,,,,,,,,0.0,,0.0,7.0,3.0,4.0,,0.0,,,,,,
Nyankunde,2026-05-24,,9.0,0.0,,365.0,45.0,11.0,0.0,33.0,33.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,
Nyankunde,2026-05-25,,9.0,0.0,,365.0,66.0,15.0,,,,,,,,,,,0.0,,0.0,,,,21.0,4.0,,,,,,
Nyankunde,2026-05-26,,10.0,0.0,,365.0,70.0,15.0,,,,,,,,,,,1.0,,0.0,,,,4.0,0.0,,,,,,
Nyankunde,2026-05-27,,10.0,0.0,,397.0,45.0,11.0,0.0,,,,,,,,,,0.0,,32.0,39.0,0.0,0.0,,,,,,,,
Nyankunde,2026-05-28,,19.0,1.0,,397.0,52.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,
Nyankunde,2026-05-29,,19.0,1.0,,743.0,52.0,12.0,0.0,38.0,38.0,,,,,,,,2.0,,435.0,,0.0,,7.0,1.0,,,,,,
Oicha,2026-05-24,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,0.0,,,,,,
Oicha,2026-05-25,,1.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,
Oicha,2026-05-26,,1.0,,,,8.0,0.0,,,,,,,,,,,0.0,,,,,,8.0,0.0,,,,,,
Oicha,2026-05-27,,2.0,,,,0.0,0.0,,,,,,,,,,,1.0,,,,,,,,,,,,,
Oicha,2026-05-28,,1.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Oicha,2026-05-29,,1.0,0.0,,,0.0,0.0,,,,,,,,,,,,,32.0,,,,,,,,,,,
Rimba,2026-05-26,,0.0,,,,14.0,4.0,,,,,,,,,,,0.0,,,,,,14.0,4.0,,,,,,
Rimba,2026-05-27,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rimba,2026-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rimba,2026-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwampara,2026-05-15,,13.0,,5.0,,72.0,,,,,,,,,,,,13.0,5.0,,,,,72.0,,,,,,,
Rwampara,2026-05-18,,19.0,,51.0,120.0,136.0,38.0,,,,,,,,,,,6.0,46.0,120.0,,,,64.0,38.0,,,,,,
Rwampara,2026-05-19,78.0,25.0,0.0,44.0,335.0,154.0,43.0,,,,,,,,,,,4.0,13.0,215.0,,,,18.0,5.0,,,,,,
Rwampara,2026-05-20,83.0,24.0,0.0,69.0,621.0,179.0,44.0,1.0,54.0,,,,,,,,,3.0,25.0,286.0,37.0,5.0,12.0,25.0,1.0,102.0,102.0,0.0,0.0,102.0,102.0
